No,Title,Pertanyaan,Context
1,Asuransi Jiwa,Apa itu asuransi jiwa,"Jenis asuransi ini memberikan perlindungan finansial terhadap risiko kehidupan dan kematian pemegang polis. Karakteristik utama asuransi jiwa adalah pemberian manfaat berupa uang pertanggungan kepada ahli waris jika pemegang polis berpulang. Apabila pemegang polis masih hidup dalam jangka waktu yang ditentukan, mereka akan mendapatkan manfaat dalam bentuk nilai tunai.Manfaat dan perlindungan yang diberikan asuransi jiwa berupa uang pertanggungan yang bisa digunakan untuk memenuhi kebutuhan sehari-hari.    "
2,Asuransi Kesehatan,Apa itu asuransi kesehatan,"Asuransi kesehatan merupakan jenis asuransi yang memberikan perlindungan finansial ketika mengalami masalah kesehatan. Asuransi ini berguna ketika nasabah menjalani rawat inap, operasi, maupun bentuk perawatan lainnya yang dilakukan di rumah sakit. Asuransi kesehatan sangat penting untuk dimiliki karena bisa melindungi aset atau keuangan nasabah pada saat melakukan pengobatan dengan biaya yang tidak sedikit."
3,Asuransi Pendidikan,Apa itu asuransi pendidikan,Asuransi pendidikan merupakan jenis asuransi yang berguna untuk memberikan proteksi dan perencanaan masa depan pendidikan anak. Orang tua harus memiliki asuransi pendidikan karena biaya pendidikan terus mengalami peningkatan dari waktu ke waktu. Asuransi pendidikan bermanfaat dalam memberikan kepastian terhadap masa depan si buah hati.
4,Asuransi Kendaraan,Apa itu asuransi kendaraan,"Asuransi kendaraan yang berguna sebagai bentuk perlindungan finansial terhadap kendaraan bermotor yang dimiliki. Setiap pemilik kendaraan bermotor, baik individu maupun lembaga, membutuhkan asuransi untuk kendaraan bermotor karena biaya perbaikan akibat kerusakan atau kehilangan kendaraan memakan jumlah yang tidak sedikit."
5,Pengertian KPR,kamu tahu ga apa itu KPR?,"Kredit Pemilikan Rumah atau KPR adalah salah satu cara untuk mencicil rumah dalam jangka waktu dan bunga tertentu. Melalui KPR, masyarakat bisa membeli rumah tanpa uang tunai sejumlah harga bangunan tersebut. Sebab, yang perlu disiapkan hanyalah dana untuk down payment atau DP rumah saja. Selanjutnya, sisa biaya yang sudah termasuk bunga akan diangsur setiap bulan selama jangka waktu yang telah ditetapkan."
6,KPR Non Subsidi,info dan jelasin dong terkait KPR non subsidi itu apa,KPR Non Subsidi adalah salah satu jenis kredit rumah yang ditawarkan oleh bank umum tanpa campur tangan pemerintah. Seluruh biaya merupakan hasil dari kebijakan bank. Di mana suku bunga KPR Non Subsidi biasanya mengacu pada BI 
7,KPR Bersubsidi,kalo KPR bersubsidi itu apa sih,"KPR Bersubsidi adalah kreditan rumah yang merupakan bentuk bantuan dari pemerintah. Bantuan tersebut berupa pengurangan uang muka hingga suku bunga.

Kredit pemilikan rumah bersubsidi diberikan kepada pekerja berpenghasilan rendah dan belum memiliki hunian sendiri. Kredit rumah bersubsidi berikut hanya bisa digunakan maksimal untuk rumah tipe 36 dengan harga maksimal 120 juta rupiah.

Suku bunganya yakni sekitar 7,25% flat dan sudah mencakup asuransi jiwa, kebakaran, maupun asuransi kredit."
8,KPR Syariah,ada gak sih kpr yang tidak menganut sistem bunga?,"KPR Syariah adalah jenis kredit pemilikan rumah dengan prinsip-prinsip ajaran agama Islam sehingga tidak menganut sistem bunga, melainkan bagi hasil atau nisbah."
9,KPR Refinancing,"aku baru denger nih ada kpr refinancing, itu apaan sih?",KPR refinancing sedikit berbeda dengan jenis kreditan rumah lainnya. KPR refinancing merupakan sebuah produk pinjaman di mana rumah yang dibeli dijadikan jaminan untuk pinjaman pribadi.
10,Skema Singkat Pengajuan KPR,"gimana sih skema atau alur dari pengajuan KPR itu, aku mau banget punya rumah nih","Skema Singkat Pengajuan KPR
1. Penjual terpercaya menjual sebuah rumah seharga A dengan luas tanah X.
2. Pembeli tertarik dengan bangunan rumah tersebut dan melakukan perundingan mengenai besar DP dan dokumen resmi kepemilikan rumah seperti sertifikat rumah.
3. Pembeli membayar DP kepada penjual rumah.
4. Penjual menyerahkan sertifikat rumah kepada pembeli.
5. Pembeli mengajukan KPR ke bank dan menjadikan sertifikat rumah sebagai jaminannya.
6. Bank melakukan pengecekan riwayat keuangan pembeli sebagai debitur.
7. Bank menyetujui pengajuan KPR.
8. Pembeli mengisi data-data pengajuan KPR berupa jangka waktu pembayaran, DP, harga rumah, luas tanah, dan pemilihan tipe bunga.
9. Bank dan pembeli menyepakati hasil pengajuan KPR.
10. Bank memberikan dana pinjaman kepada pembeli untuk melunasi biaya rumah.
11. Pembeli membayar lunas biaya rumah kepada penjual rumah.
12. Pembeli setiap bulan mulai mencicil dana pinjaman yang diberikan oleh bank sampai jangka waktu yang telah ditetapkan."
11,Oli Mesin Motor,Kapan waktu yang tepat ganti oli mesin motor?,Oli mesin berfungsi melumasi komponen mesin agar tidak aus akibat gesekan. Umumnya oli mesin motor diganti setiap 2000–3000 km atau sebulan sekali tergantung pemakaian. Penggantian rutin menjaga performa mesin tetap optimal dan mencegah keausan dini.
12,Kampas Rem Motor,Bagaimana ciri kampas rem motor yang harus diganti?,"Kampas rem yang menipis bisa menyebabkan pengereman kurang pakem dan berbahaya. Ciri-ciri kampas rem habis yaitu suara berdecit, rem terasa dalam saat ditekan, atau motor sulit berhenti. Segera ganti jika ketebalan kampas tinggal 1-2 mm"
13,Aki Motor,Apa tanda aki motor mulai soak?,"Aki soak biasanya ditandai starter motor lemah atau tidak bisa distarter sama sekali. Selain itu, lampu redup dan klakson pelan juga menjadi indikator. Aki motor sebaiknya dicek tiap 6 bulan untuk mencegah mati total di jalan"
14,Rantai Motor,Seberapa sering rantai motor harus disetel ulang?,Rantai motor harus disetel setiap 500–1000 km agar tegangan ideal terjaga. Rantai kendor bisa menyebabkan loncat gigi dan rantai lepas. Rantai terlalu kencang pun mempercepat aus gear set
15,Radiator Motor,Kenapa air radiator motor cepat habis?,"Air radiator cepat habis bisa karena bocor pada selang, tutup radiator rusak, atau water pump bermasalah. Jika dibiarkan, mesin motor bisa overheat dan rusak parah"
16,Velg Motor,Apa perbedaan velg racing dan velg jari-jari?,"Velg racing lebih kuat, cocok untuk kecepatan tinggi, dan tahan banting. Velg jari-jari lebih fleksibel di jalan rusak, sering dipakai motor trail atau bebek harian"
17,Busi Motor,Bagaimana tanda busi motor rusak?,"Motor susah nyala, brebet, dan konsumsi bensin boros bisa jadi tanda busi rusak. Ganti busi tiap 8000–10.000 km untuk performa mesin maksimal"
18,CVT Motor Matic,Kapan harus servis CVT motor matic?,"CVT sebaiknya diservis setiap 8000–12.000 km. Gejala masalah CVT meliputi tarikan berat, suara kasar, dan motor tersendat"
19,Suspensi Motor,Apa ciri suspensi motor rusak?,"Suspensi rusak ditandai rembesan oli di shockbreaker, motor limbung, dan bunyi ‘jedug’ di jalan rusak. Segera ganti jika gejala muncul untuk kenyamanan berkendara"
20,Filter Udara,Kenapa filter udara motor harus rutin dibersihkan?,"Filter udara kotor bikin mesin ngos-ngosan, tenaga lemah, dan boros bensin. Bersihkan tiap 4000 km atau ganti tiap 8000 km agar pembakaran tetap sempurna"
21,Ban Motor,Apa beda ban tubeless dan ban biasa?,"Ban tubeless tanpa ban dalam, lebih tahan bocor kecil. Ban biasa pakai inner tube, lebih murah tapi rentan bocor"
22,Rem Cakram,Bagaimana cara merawat rem cakram motor?,Rem cakram harus dibersihkan dari debu dan oli. Ganti minyak rem setiap 2 tahun agar sistem rem responsif.
23,Mesin Motor,Kenapa mesin motor cepat panas?,"Mesin cepat panas bisa karena oli habis, radiator bocor, atau sirkulasi udara terganggu. Segera cek ke bengkel jika overheat."
24,Knalpot Motor,Apa efek knalpot bocor?,"Knalpot bocor membuat suara motor berisik, tenaga berkurang, dan pembakaran tidak sempurna"
25,ECU Motor,Apakah ECU motor bisa rusak?,"ECU rusak bisa menyebabkan mesin mati tiba-tiba, susah nyala, atau konsumsi BBM boros. Perlu alat scanner untuk cek kerusakan ECU"
26,Spakbor Motor,Apakah spakbor motor bisa diganti model lain?,Spakbor bisa diganti model variasi asalkan sesuai dudukan motor. Spakbor variasi bikin motor lebih keren tapi harus tetap fungsional menahan cipratan air
27,Lampu Motor,Bolehkah ganti lampu LED di motor lama?,"Boleh, asal daya lampu sesuai agar aki tidak tekor. LED lebih terang dan awet dibanding lampu halogen biasa"
28,Kick Starter Motor,Kenapa kick starter motor macet?,"Kick starter macet karena pegas lemah, gigi aus, atau kotoran menumpuk. Harus dibongkar dan dibersihkan di bengkel"
29,Box Motor,Apakah semua motor bisa dipasang box belakang?,"Tidak semua motor cocok box belakang, tergantung dudukan rangka. Perlu bracket tambahan jika tidak ada dudukan standar"
30,Fuel Pump Motor,Apa gejala fuel pump motor rusak?,"Fuel pump rusak bikin motor sulit hidup, brebet, atau mati mendadak. Suara dengung fuel pump sebelum starter bisa hilang jika rusak"
31,Alat Berat Excavator,Untuk apa fungsi utama excavator di pertambangan?,"Excavator adalah alat berat yang berfungsi untuk menggali material seperti tanah, batu, atau pasir dalam kegiatan tambang terbuka. Excavator juga digunakan untuk memindahkan material hasil galian ke dump truck. Alat ini dilengkapi bucket besar di ujung lengan hidrauliknya yang dapat berputar 360 derajat, sehingga memudahkan proses penggalian di berbagai medan sulit"
32,Dump Truck Tambang,Mengapa dump truck di tambang ukurannya sangat besar?,"Dump truck tambang dirancang berukuran sangat besar untuk mengangkut material hasil tambang seperti batu bara atau bijih dalam jumlah besar sekaligus, sehingga menghemat waktu dan biaya operasional. Kapasitas dump truck tambang bisa mencapai 400 ton. Ukuran besar juga meningkatkan efisiensi pengangkutan jarak jauh dari pit tambang ke area pemrosesan"
33,Drilling (Pengeboran),Apa tujuan utama proses drilling di pertambangan?,Drilling atau pengeboran adalah kegiatan penting dalam eksplorasi tambang untuk mengetahui kandungan mineral di bawah permukaan tanah. Proses ini dilakukan menggunakan mesin bor khusus yang bisa mencapai kedalaman ratusan meter. Sampel dari pengeboran akan dianalisis untuk menentukan nilai ekonomis cadangan mineral di lokasi tersebut
34,Blasting (Peledakan),Kenapa harus dilakukan peledakan di tambang?,"Blasting adalah proses peledakan batuan di tambang terbuka untuk memecahkan batu menjadi ukuran lebih kecil agar mudah diangkut atau diolah. Peledakan dilakukan setelah pengeboran lubang di batuan keras, lalu diisi bahan peledak khusus. Proses ini harus sesuai prosedur keselamatan tinggi agar tidak menimbulkan risiko kecelakaan"
35,Belt Conveyor,Apa fungsi belt conveyor dalam proses tambang?,"Belt conveyor adalah alat pemindah material tambang seperti batu bara atau bijih dari satu titik ke titik lain secara otomatis. Conveyor mengurangi kebutuhan alat angkut manual seperti dump truck, mempercepat proses produksi, dan menghemat biaya operasional tambang dalam jangka panjang"
36,Smelter,Mengapa hasil tambang harus diolah di smelter?,"Smelter adalah fasilitas pengolahan mineral mentah (ore) menjadi logam murni seperti nikel, tembaga, atau alumunium. Smelter memisahkan mineral berharga dari unsur pengotor agar bisa digunakan untuk industri. Pembangunan smelter diwajibkan pemerintah untuk meningkatkan nilai tambah produk tambang di dalam negeri"
37,Safety Helmet Tambang,Kenapa helm keselamatan wajib dipakai di area tambang?,"Safety helmet melindungi kepala pekerja tambang dari risiko benturan benda keras, jatuhan batu, atau material lainnya. Helm tambang biasanya berwarna cerah untuk memudahkan identifikasi pekerja dan dilengkapi lampu untuk penerangan di area gelap seperti tambang bawah tanah"
38,Ventilasi Tambang Bawah Tanah,Mengapa tambang bawah tanah harus memiliki sistem ventilasi?,"Sistem ventilasi diperlukan untuk menyediakan udara segar, mengurangi kadar gas berbahaya, serta mengontrol suhu di dalam tambang bawah tanah. Tanpa ventilasi yang baik, risiko kecelakaan seperti sesak napas, ledakan gas, atau overheating alat berat meningkat drastis"
39,Survey Topografi Tambang,Apa pentingnya survey topografi sebelum kegiatan tambang?,"Survey topografi dilakukan untuk memetakan kontur dan bentuk permukaan tanah sebelum kegiatan tambang dimulai. Data topografi digunakan untuk menentukan lokasi pit tambang, jalan angkut, serta lokasi fasilitas pendukung lainnya. Survey ini memastikan operasi tambang berjalan efektif dan aman sesuai rencana desain."
40,Alat Deteksi Gas Tambang,Mengapa perlu alat deteksi gas di tambang bawah tanah?,
41,Processor Intel,Apa bedanya Intel Core i5 dengan i7?,"Intel Core i5 biasanya memiliki lebih sedikit core atau thread dibandingkan i7, sehingga performanya lebih rendah untuk multitasking atau aplikasi berat."
42,Processor AMD,Apa kelebihan AMD Ryzen dibandingkan Intel?,"AMD Ryzen unggul dalam jumlah core/thread lebih banyak di harga setara, cocok untuk multitasking dan rendering."
43,Motherboard Chipset,Apa perbedaan chipset B550 dan X570?,"Chipset X570 mendukung PCIe 4.0 di semua slot, lebih cocok untuk high-end, sedangkan B550 lebih ekonomis."
44,RAM DDR4,Apa itu RAM Dual Channel?,"Dual Channel memungkinkan dua RAM bekerja bersamaan, meningkatkan bandwidth memori dan performa sistem."
45,RAM DDR5,Apakah DDR5 kompatibel dengan motherboard DDR4?,"DDR5 memerlukan motherboard khusus, tidak kompatibel dengan slot DDR4 karena perbedaan arsitektur."
46,SSD NVMe,Apa kelebihan SSD NVMe dibanding SATA?,"NVMe lebih cepat karena menggunakan jalur PCIe, sementara SATA dibatasi kecepatan oleh protokol lama."
47,Harddisk,Berapa lama umur harddisk?,Umur rata-rata 3-5 tahun tergantung penggunaan dan kualitas produksi.
48,GPU Nvidia,Apa arti Ti pada GPU Nvidia?,‘Ti’ (Titanium) menunjukkan varian GPU yang lebih kuat dibandingkan versi non-Ti.
49,GPU AMD,Apa kelebihan Radeon dibanding GeForce?,"Radeon sering lebih baik dalam performa harga untuk workstation, GeForce unggul untuk gaming."
50,PSU,Berapa watt PSU yang dibutuhkan untuk gaming PC?,Biasanya 550W - 750W tergantung GPU dan CPU yang digunakan.
51,Casing PC,Kenapa airflow penting dalam casing?,"Airflow baik mencegah komponen overheat, memperpanjang umur dan stabilitas sistem."
52,Cooler CPU,Apa perbedaan air cooler dan liquid cooler?,"Liquid cooler lebih efisien mendinginkan CPU high-end, air cooler lebih sederhana dan murah."
53,Monitor,Apa itu refresh rate 144Hz?,"144Hz membuat tampilan lebih mulus dibanding 60Hz, berguna untuk gaming cepat."
54,Keyboard Mechanical,Apa keuntungan keyboard mechanical?,"Lebih tahan lama, feedback lebih baik, cocok untuk gaming dan mengetik cepat."
55,Mouse Gaming,Kenapa DPI penting di mouse gaming?,"DPI menentukan sensitivitas gerak kursor, tinggi untuk gaming cepat, rendah untuk presisi."
56,Sound Card,Apa manfaat sound card tambahan?,"Memberi kualitas suara lebih baik dari bawaan motherboard, cocok untuk audio editing."
57,UPS,Kenapa PC butuh UPS?,UPS melindungi dari mati listrik tiba-tiba yang bisa merusak komponen PC.
58,Optical Drive,Apakah optical drive masih dibutuhkan?,"Jarang diperlukan karena media digital, kecuali untuk instalasi tertentu atau backup lama."
59,Network Card,Apa gunanya network card tambahan?,"Untuk upgrade koneksi, misal ke Wi-Fi 6 atau LAN 10Gbps."
60,External Storage,Apa bedanya HDD eksternal dengan SSD eksternal?,"SSD eksternal lebih cepat, HDD lebih murah untuk kapasitas besar."
61,Project Scope,Apa itu ruang lingkup proyek?,"Project Scope adalah penjelasan lengkap tentang hasil, fitur, dan batasan proyek yang disepakati bersama stakeholder."
62,Project Timeline,Mengapa timeline penting dalam proyek?,"Timeline memastikan proyek berjalan sesuai waktu yang direncanakan, menghindari keterlambatan dan biaya tambahan."
63,Project Cost,Bagaimana menentukan estimasi biaya proyek?,"Dengan mengidentifikasi seluruh kebutuhan sumber daya, tenaga kerja, material, dan risiko yang ada."
64,Risk Management,Apa itu analisis risiko proyek?,"Proses mengidentifikasi, menilai, dan meminimalkan dampak risiko terhadap keberhasilan proyek."
65,Project Milestone,Apa yang dimaksud milestone proyek?,Titik pencapaian penting yang menandai fase utama dalam perjalanan proyek.
66,Project Resources,Bagaimana mengelola sumber daya proyek?,"Dengan alokasi optimal tenaga kerja, alat, dan bahan untuk memaksimalkan produktivitas."
67,Communication Plan,Mengapa rencana komunikasi dibutuhkan?,Agar informasi proyek tersampaikan efektif ke semua pihak terkait.
68,Project Stakeholder,Siapa saja stakeholder proyek?,"Pihak yang memiliki kepentingan langsung atau tidak langsung dalam proyek, misalnya klien, manajer, tim."
69,Agile vs Waterfall,Apa perbedaan Agile dan Waterfall?,"Agile fleksibel, iteratif; Waterfall linier, bertahap, cocok untuk proyek stabil."
70,Quality Control,Bagaimana memastikan kualitas hasil proyek?,"Melalui inspeksi, testing, review untuk memenuhi standar mutu yang ditentukan."
71,Change Management,Apa itu manajemen perubahan?,"Pengelolaan perubahan dalam ruang lingkup, anggaran, atau jadwal proyek agar tetap terkendali."
72,Project Closure,Apa yang dilakukan saat penutupan proyek?,"Evaluasi hasil, dokumentasi akhir, pembubaran tim, penyerahan hasil ke klien."
73,Project Charter,Apa itu project charter?,"Dokumen resmi untuk menginisiasi proyek, menyatakan tujuan, ruang lingkup, dan wewenang PM."
74,Project Budget,Bagaimana mengelola anggaran proyek?,Dengan pengendalian biaya tetap pada estimasi melalui monitoring rutin dan audit anggaran.
75,Project Documentation,Kenapa dokumentasi proyek penting?,"Sebagai referensi resmi, pelajaran masa depan, dan bukti pelaksanaan proyek."
76,Project KPI,Apa contoh KPI dalam proyek?,"KPI: biaya, waktu penyelesaian, kepuasan klien, produktivitas tim."
77,Project Integration,Apa itu project integration management?,Koordinasi semua elemen proyek agar berjalan harmonis dan mencapai tujuan.
78,Resource Levelling,Apa itu resource levelling?,Teknik menyeimbangkan kebutuhan sumber daya agar tidak ada yang over-utilized.
79,Time Tracking,Bagaimana melakukan time tracking proyek?,"Dengan tools seperti Jira, Trello untuk memantau progress dan penggunaan waktu."
80,Project Evaluation,Mengapa evaluasi proyek penting?,Agar pelajaran dan kesalahan terdokumentasi untuk perbaikan proyek berikutnya.
81,Mitos Air Es,Apakah air es menyebabkan gemuk?,Fakta: Tidak ada bukti ilmiah air es menyebabkan gemuk; metabolisme malah sedikit meningkat untuk menghangatkan air.
82,Mitos Vaksin,Apakah vaksin menyebabkan autisme?,Fakta: Penelitian membuktikan tidak ada hubungan antara vaksin dan autisme.
83,Mitos Kopi,Apakah kopi buruk untuk jantung?,Fakta: Konsumsi moderat kopi justru menurunkan risiko penyakit jantung.
84,Mitos MSG,Apakah MSG berbahaya bagi kesehatan?,Fakta: MSG aman dikonsumsi dalam batas wajar menurut WHO dan FDA.
85,Mitos Telur,Apakah makan telur tiap hari meningkatkan kolesterol?,Fakta: Telur aman dikonsumsi harian untuk orang sehat tanpa menaikkan kolesterol drastis.
86,Mitos Gula,Apakah gula merah lebih sehat dari gula putih?,"Fakta: Kandungan kalorinya hampir sama, perbedaannya hanya pada proses pemurnian."
87,Mitos Garam,Apakah garam laut lebih sehat dari garam meja?,"Fakta: Keduanya punya kandungan natrium serupa, manfaatnya hampir sama."
88,Mitos Vitamin C,Apakah vitamin C bisa mencegah flu?,"Fakta: Vitamin C hanya sedikit menurunkan durasi flu, bukan mencegahnya total."
89,Mitos Susu,Apakah susu membuat lendir berlebih?,Fakta: Tidak ada bukti ilmiah susu meningkatkan produksi lendir.
90,Mitos Daging Merah,Apakah daging merah selalu berbahaya?,Fakta: Konsumsi moderat daging merah tidak berisiko bila diolah dengan benar.
91,Mitos Minum Air,Apakah harus minum 8 gelas air sehari?,"Fakta: Kebutuhan air tiap orang berbeda, tergantung aktivitas dan kondisi tubuh."
92,Mitos Detoks,Apakah detoks dengan jus efektif?,Fakta: Tubuh manusia sudah punya mekanisme detoks alami lewat hati dan ginjal.
93,Mitos Karbohidrat,Apakah karbohidrat bikin gemuk?,"Fakta: Kelebihan kalori, bukan karbohidrat semata, penyebab kenaikan berat badan."
94,Mitos Lemak,Apakah semua lemak jahat?,Fakta: Lemak sehat seperti omega-3 baik untuk jantung dan otak.
95,Mitos Gluten,Apakah gluten buruk untuk semua orang?,Fakta: Gluten hanya bermasalah bagi penderita celiac atau sensitivitas gluten.
96,Mitos Puasa,Apakah puasa memperlambat metabolisme?,Fakta: Puasa jangka pendek justru bisa meningkatkan metabolisme basal.
97,Mitos Microwave,Apakah microwave merusak nutrisi makanan?,Fakta: Microwave mempertahankan nutrisi lebih baik daripada metode rebus lama.
98,Mitos Madu,Apakah madu lebih sehat dari gula?,"Fakta: Madu tetap mengandung gula tinggi, tetapi memiliki antioksidan tambahan."
99,Mitos Diet Detox,Apakah diet detoks membantu buang racun?,"Fakta: Tidak ada bukti kuat, tubuh detoks alami lewat organ hati dan ginjal."
100,Mitos Tidur,Apakah tidur siang bikin malas?,Fakta: Tidur siang singkat justru meningkatkan konsentrasi dan performa mental.